,SubjectID,TestType,Datestr,TrialNo,TrialStartTime,Correct,ReactionTime_s,HitRT_s,HitMiss,crossChange,crossOnset_s,index,TrialIdx,Change,TargetOnset,TargetAz,TargetEl,Sources,sL1,sF1,sL2,sF2,sL3,sF3,sL4,sF4,sL5,sF5,sL6,sF6,sL7,sF7,sL8,sF8,TargetSource
117,1,Behaviour_MultipleSources,2023-04-24_10-22-48,118,50:28.4,1,,,2,0,4.541,0,118,0,4.088,72,0,6,13,3,1,6,3,7,23,12,24,1,10,15,20,17,26,17,right
118,1,Behaviour_MultipleSources,2023-04-24_10-22-48,119,50:38.0,1,,,2,0,4.174,0,119,0,4.124,0,0,6,11,3,2,6,14,15,4,1,18,16,10,5,20,17,1,17,front
119,1,Behaviour_MultipleSources,2023-04-24_10-22-48,120,50:47.7,1,5.182138204574585,0.8541382045745847,1,0,4.802,0,120,1,4.328,0,0,8,11,9,20,1,3,2,27,7,8,12,23,6,18,4,25,15,front
120,1,Behaviour_MultipleSources,2023-04-24_10-22-48,121,50:57.6,1,5.312409162521362,0.7714091625213619,1,0,4.118,0,121,1,4.541,252,0,5,18,9,31,1,2,2,28,8,10,6,20,17,1,17,26,17,left
121,1,Behaviour_MultipleSources,2023-04-24_10-22-48,122,51:07.7,1,,,2,0,4.41,0,122,0,4.834,252,0,5,18,14,21,15,13,5,15,8,5,4,20,17,1,17,26,17,left
122,1,Behaviour_MultipleSources,2023-04-24_10-22-48,123,51:18.1,1,,,2,0,4.01,0,123,0,4.899,0,0,4,11,10,3,12,16,1,25,13,20,17,1,17,26,17,11,17,front
123,1,Behaviour_MultipleSources,2023-04-24_10-22-48,124,51:28.5,1,5.458245754241943,0.8542457542419433,1,0,4.333,0,124,1,4.604,252,0,5,18,9,12,2,27,13,23,6,20,4,1,17,26,17,11,17,left
124,1,Behaviour_MultipleSources,2023-04-24_10-22-48,125,51:38.7,1,6.081806659698486,1.1328066596984865,1,0,4.603,0,125,1,4.949,0,0,4,11,10,14,2,29,12,9,1,20,17,1,17,26,17,11,17,front
125,1,Behaviour_MultipleSources,2023-04-24_10-22-48,126,55:37.0,1,,,2,0,4.83,0,126,0,4.96,180,0,6,16,11,31,6,13,16,28,7,30,5,20,8,1,17,26,17,back
126,1,Behaviour_MultipleSources,2023-04-24_10-22-48,127,55:47.5,1,,,2,0,4.097,0,127,0,4.01,180,0,4,16,3,21,8,27,6,30,4,20,17,1,17,26,17,11,17,back
127,1,Behaviour_MultipleSources,2023-04-24_10-22-48,128,55:57.1,1,5.3018858432769775,0.6008858432769779,1,0,4.264,0,128,1,4.701,0,90,6,31,14,12,8,3,4,8,12,17,13,25,2,20,17,1,17,top
128,1,Behaviour_MultipleSources,2023-04-24_10-22-48,129,56:07.3,1,4.749171018600464,0.5381710186004636,1,0,4.854,0,129,1,4.211,72,0,6,13,14,26,13,14,1,23,7,17,4,10,15,20,17,1,17,right
129,1,Behaviour_MultipleSources,2023-04-24_10-22-48,130,56:17.1,1,,,2,0,4.445,0,130,0,4.219,180,0,6,16,9,21,13,2,12,15,16,18,8,20,7,1,17,26,17,back
130,1,Behaviour_MultipleSources,2023-04-24_10-22-48,131,56:26.9,1,5.385283946990967,1.116283946990967,1,0,4.848,0,131,1,4.269,72,0,5,13,14,31,2,8,15,29,5,5,7,20,17,1,17,26,17,right
131,1,Behaviour_MultipleSources,2023-04-24_10-22-48,132,56:36.8,1,5.328384160995483,0.5763841609954836,1,0,4.996,0,132,1,4.752,0,90,5,31,11,14,2,15,12,4,7,25,1,20,17,1,17,26,17,top
132,1,Behaviour_MultipleSources,2023-04-24_10-22-48,133,56:47.1,1,,,2,0,4.526,0,133,0,4.743,72,0,5,13,10,11,16,28,2,24,1,5,8,20,17,1,17,26,17,right
133,1,Behaviour_MultipleSources,2023-04-24_10-22-48,134,56:57.4,1,,,2,0,4.22,0,134,0,4.098,0,90,6,31,9,22,12,14,4,29,13,18,1,10,7,20,17,1,17,top
134,1,Behaviour_MultipleSources,2023-04-24_10-22-48,135,57:07.0,1,5.416020154953003,1.3330201549530027,1,0,4.879,0,135,1,4.083,72,0,8,13,3,26,1,11,6,22,4,15,8,17,15,5,13,18,7,right
135,1,Behaviour_MultipleSources,2023-04-24_10-22-48,136,57:16.6,1,4.966607093811035,0.9216070938110352,1,0,4.318,0,136,1,4.045,0,0,4,11,11,27,16,29,5,30,7,20,17,1,17,26,17,11,17,front
136,1,Behaviour_MultipleSources,2023-04-24_10-22-48,137,57:26.2,1,5.508646726608276,0.8926467266082767,1,0,4.712,0,137,1,4.616,0,0,6,11,10,2,12,14,1,23,16,18,6,19,13,20,17,1,17,front
137,1,Behaviour_MultipleSources,2023-04-24_10-22-48,138,57:36.4,1,5.2142651081085205,0.7152651081085208,1,0,4.881,0,138,1,4.499,180,0,6,16,14,11,8,2,12,15,7,5,13,10,1,20,17,1,17,back
138,1,Behaviour_MultipleSources,2023-04-24_10-22-48,139,57:46.5,0,,,3,0,4.455,0,139,1,4.886,180,0,7,16,3,21,4,13,8,7,6,28,15,9,5,10,2,20,17,back
139,1,Behaviour_MultipleSources,2023-04-24_10-22-48,140,57:56.9,1,5.170185089111328,0.4481850891113277,1,0,4.587,0,140,1,4.722,0,90,6,31,9,13,16,14,6,4,4,30,1,25,12,20,17,1,17,top
140,1,Behaviour_MultipleSources,2023-04-24_10-22-48,141,58:07.2,1,4.987484931945801,0.8014849319458008,1,0,4.709,0,141,1,4.186,0,90,5,31,14,7,7,8,12,24,1,19,13,20,17,1,17,26,17,top
141,1,Behaviour_MultipleSources,2023-04-24_10-22-48,142,58:17.0,1,5.477057933807373,1.1970579338073728,1,0,4.739,0,142,1,4.28,180,0,8,16,11,1,7,11,4,2,16,14,5,15,2,30,12,5,8,back
142,1,Behaviour_MultipleSources,2023-04-24_10-22-48,143,58:52.3,1,,,2,0,4.279,0,143,0,4.434,72,0,7,13,3,31,6,22,8,8,2,17,7,9,4,20,13,1,17,right
143,1,Behaviour_MultipleSources,2023-04-24_10-22-48,144,59:02.3,1,5.0571370124816895,0.710137012,1,0,4.732,0,144,1,4.347,0,0,5,11,3,27,1,15,6,4,13,5,4,20,17,1,17,26,17,front
144,1,Behaviour_MultipleSources,2023-04-24_10-22-48,145,59:12.2,1,5.595821857452393,0.8518218574523928,1,0,4.797,0,145,1,4.744,0,0,7,11,9,2,2,14,12,15,15,29,7,9,1,5,4,20,17,front
145,1,Behaviour_MultipleSources,2023-04-24_10-22-48,146,59:22.5,1,5.466968059539795,1.2799680595397946,1,0,4.344,0,146,1,4.187,0,90,6,31,10,2,2,28,12,16,8,17,7,20,6,1,17,26,17,top
146,1,Behaviour_MultipleSources,2023-04-24_10-22-48,147,59:32.3,1,,,2,0,4.256,0,147,0,4.02,72,0,4,13,3,31,8,16,1,24,13,20,17,1,17,26,17,11,17,right
